address;id;latitude;longitude;name;number;total_bases;neighbours
Calle O'Donnell nº 50;66;40.4213148;-3.6724968;O'Donnell;62;24;Retiro
Calle Ibiza nº 62;67;40.4179237;-3.6708959;Ibiza;63;24;Retiro
Calle Antonio Maura nº 15;69;40.4165605;-3.6904525;Antonio Maura;65;24;Retiro
Calle Almadén nº 28;71;40.4108472;-3.6932250;Almadén;67;24;Centro
Calle Espalter nº 1;72;40.4128372;-3.6912023;Espalter;68;21;Retiro
Avenida de Alfonso XII nº 54;73;40.4098080;-3.6888220;Puerta del Ángel Caído;69;27;Retiro
Avenida de Menéndez Pelayo nº 63;74;40.4153053;-3.6779232;Puerta del Doce de Octubre;70;24;Retiro
Calle Doce de Octubre nº 28;75;40.4159569;-3.6738865;Doce de Octubre;71;24;Retiro
Calle Doctor Esquerdo nº 99;76;40.4157413;-3.6691838;Sainz de Baranda;72;24;Retiro
Avenida de Nazaret nº 7;77;40.4114475;-3.6689089;Plaza de los Astros;73;24;Retiro
Avenida de Menéndez Pelayo nº 73;78;40.4117627;-3.6766813;Puerta del Pacífico ;74;24;Retiro
Avenida de Menéndez Pelayo nº 90;79;40.4082805;-3.6784838;Menéndez Pelayo;75;24;Retiro
Avenida del Mediterráneo nº 19;80;40.4076726;-3.6750121;Puerta de Mariano de Cavia;76;24;Retiro
Plaza del Conde de Casal nº 8;81;40.4063500;-3.6704220;Conde de Casal;77;22;Retiro
Calle Cerro de la Plata nº 2;82;40.4009101;-3.6744804;Pedro Bosch;78;24;Retiro
Avenida de Menéndez Pelayo nº 38;83;40.4051451;-3.6803874;Puerta de Granada;79;24;Retiro
Paseo de la Infanta Isabel nº 3;84;40.4075685;-3.6902255;Atocha A;80a;24;Arganzuela
Paseo de la Infanta Isabel nº 3;85;40.4074902;-3.6901234;Atocha B;80b;27;Arganzuela
Plaza del Emperador Carlos V nº 11;86;40.4092970;-3.6919870;Cuesta de Moyano;81;24;Retiro
Calle Doctor Esquerdo nº 161;87;40.4084556;-3.6697526;Niño Jesús;82;24;Retiro
Calle Pío Baroja nº 10;88;40.4130243;-3.6751105;Pío Baroja;83;24;Retiro
Calle Doctor Esquerdo nº 191;89;40.4032501;-3.6726019;Valderribas;84;24;Retiro
Avenida de Menéndez Pelayo nº 11;90;40.4215010;-3.6800080;Puerta de Madrid;85;27;Retiro
Paseo del Prado nº 1;91;40.4186148;-3.6926217;Cibeles;86;21;Retiro
Calle Ayala nº 44;92;40.4277360;-3.6832566;Ayala;87;24;Salamanca
Calle Velázquez nº 75;93;40.4313576;-3.6838303;Embajada de Italia;88;24;Salamanca
Calle Ayala nº 102;94;40.4272582;-3.6752024;Conde Peñalver;89;24;Salamanca
Calle Goya nº 18;95;40.4250361;-3.6837876;General Pardiñas;90;30;Salamanca
Calle Hermosilla nº 70;96;40.4261340;-3.6787441;Príncipe de Vergara;91;24;Salamanca
Calle Claudio Coello nº 45;97;40.4262945;-3.6865463;Claudio Coello;92;24;Salamanca
Calle Goya nº 1;98;40.4257046;-3.6893698;Plaza de Colón;93;24;Salamanca
Paseo de Recoletos nº 32-34;99;40.4226990;-3.6909648;Biblioteca Nacional;94;21;Salamanca
Calle Claudio Coello nº 109;100;40.4226584;-3.6870548;Villanueva;95;24;Salamanca
Calle Alcalá nº 111;101;40.4220640;-3.6821793;Castelló;96;27;Salamanca
Avenida de Menéndez Pelayo nº 3;102;40.4226906;-3.6801307;Alcalá;97;27;Salamanca
Plaza de Felipe II;103;40.4242625;-3.6753567;Plaza de Felipe II;98;24;Salamanca
Calle Alcántara nº 2;104;40.4261851;-3.6738714;Alcántara;99;24;Salamanca
Calle Goya nº 99;105;40.4248457;-3.6738635;Palacio de Deportes;100;24;Salamanca
Calle Jorge Juan nº 131;106;40.4231526;-3.6691523;Jorge Juan;101;24;Salamanca
Calle Alcalá nº 95;107;40.4211802;-3.6840229;Velázquez;102;24;Salamanca
Calle Ortega y Gasset nº 6;108;40.4303057;-3.6865654;Ortega y Gasset;103;24;Salamanca
Paseo de la Castellana nº 4;109;40.4268331;-3.6895336;Castellana;104;21;Salamanca
Calle Serrano nº 54;110;40.4267905;-3.6873922;Serrano;105;24;Salamanca
Calle Serrano nº 34;111;40.4251002;-3.6877227;Colón A;106a;18;Salamanca
